商談コード,商談名,金額,完了予定日,フェーズ,従業員コード,顧客コード,姓,名,部署名,顧客名,都道府県,業種
2011-0001,201101株式会社モモコック様商談,11600,20110104,成立,2003-01,10059,桜庭,花子,営業,株式会社モモコック,神奈川,電気、ガス、水道、エネルギー
2015-0149,201510株式会社モモコック様商談,98400,20151013,成立,2010-01,10059,酒井,林檎,営業,株式会社モモコック,神奈川,電気、ガス、水道、エネルギー
2011-0005,201103V証券様商談,88000,20110321,成立,2003-01,10025,桜庭,花子,営業,V証券,東京,金融
2015-0115,201509V証券様商談,150000,20150917,成立,2003-01,10025,桜庭,花子,営業,V証券,東京,金融
2014-0020,201403V証券様商談,14000,20140304,成立,2001-01,10025,吉田,義男,営業,V証券,東京,金融
2015-0038,201503V証券様商談,96000,20150308,成立,2001-01,10025,吉田,義男,営業,V証券,東京,金融
2015-0084,201506V証券様商談,107200,20150612,成立,2010-01,10025,酒井,林檎,営業,V証券,東京,金融
2011-0007,201103株式会社トガチャン都市開発様商談,60520,20110324,成立,2003-01,10085,桜庭,花子,営業,株式会社トガチャン都市開発,東京,不動産
2014-0041,201403株式会社トガチャン都市開発様商談,95400,20140311,成立,2003-01,10085,桜庭,花子,営業,株式会社トガチャン都市開発,東京,不動産
2014-0125,201409株式会社トガチャン都市開発様商談,16800,20140913,敗退,2001-01,10085,吉田,義男,営業,株式会社トガチャン都市開発,東京,不動産
2012-0057,201203株式会社トガチャン都市開発様商談,136000,20120325,成立,2010-01,10085,酒井,林檎,営業,株式会社トガチャン都市開発,東京,不動産
2011-0013,201103イクミジャパン株式会社様商談,4800,20110312,成立,2003-01,10042,桜庭,花子,営業,イクミジャパン株式会社,神奈川,アパレル
2013-0078,201309イクミジャパン株式会社様商談,40000,20130901,成立,2003-01,10042,桜庭,花子,営業,イクミジャパン株式会社,神奈川,アパレル
2014-0035,201403イクミジャパン株式会社様商談,25600,20140316,成立,2001-01,10042,吉田,義男,営業,イクミジャパン株式会社,神奈川,アパレル
2014-0059,201403イクミジャパン株式会社様商談,22400,20140304,成立,2001-01,10042,吉田,義男,営業,イクミジャパン株式会社,神奈川,アパレル
2014-0094,201406イクミジャパン株式会社様商談,240000,20140623,成立,2001-01,10042,吉田,義男,営業,イクミジャパン株式会社,神奈川,アパレル
2012-0043,201209イクミジャパン株式会社様商談,26600,20120912,成立,2010-01,10042,酒井,林檎,営業,イクミジャパン株式会社,神奈川,アパレル
2011-0022,201104株式会社グランナカガワ様商談,153600,20110423,成立,2003-01,10039,桜庭,花子,営業,株式会社グランナカガワ,東京,アパレル
2012-0036,201209株式会社グランナカガワ様商談,50200,20120909,成立,2001-01,10039,吉田,義男,営業,株式会社グランナカガワ,東京,アパレル
2012-0048,201211株式会社グランナカガワ様商談,108160,20121109,成立,2001-01,10039,吉田,義男,営業,株式会社グランナカガワ,東京,アパレル
2013-0053,201305株式会社グランナカガワ様商談,32800,20130507,成立,2001-01,10039,吉田,義男,営業,株式会社グランナカガワ,東京,アパレル
2011-0028,201106株式会社グランナカガワ様商談,126600,20110601,成立,2010-01,10039,酒井,林檎,営業,株式会社グランナカガワ,東京,アパレル
2013-0038,201303株式会社グランナカガワ様商談,16420,20130324,敗退,2010-01,10039,酒井,林檎,営業,株式会社グランナカガワ,東京,アパレル
2011-0024,201104マミムー株式会社様商談,2940,20110401,敗退,2003-01,10036,桜庭,花子,営業,マミムー株式会社,東京,情報通信
2013-0036,201303マミムー株式会社様商談,266000,20130315,成立,2003-01,10036,桜庭,花子,営業,マミムー株式会社,東京,情報通信
2013-0090,201309マミムー株式会社様商談,16400,20130920,敗退,2003-01,10036,桜庭,花子,営業,マミムー株式会社,東京,情報通信
2014-0151,201410マミムー株式会社様商談,203200,20141005,成立,2003-01,10036,桜庭,花子,営業,マミムー株式会社,東京,情報通信
